DateTime,Date,Volume,Transaction,Value,Open,High,Low,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,Close
2019-01-09,20190109,51255446,14098,11006827093,212.0,216.5,211.0,+,4.5,39675749.0,32127443.0,7548306.0,303000,717000,-414000,235005,2475000.0,2239995.0,7369311,15.94,3.55,3.71,215.5
2019-01-10,20190110,20832593,6018,4491377349,216.0,216.5,214.5,+,0.5,18743557.0,17263645.0,1479912.0,22000,278000,-256000,-297000,124000.0,421000.0,926912,15.98,3.56,3.7,216.0
2019-01-11,20190111,28658288,11198,6296719320,219.0,220.5,218.0,+,4.5,25495353.0,13653645.0,11841708.0,505000,146000,359000,-660000,317000.0,977000.0,11540708,16.31,3.63,3.63,220.5
2019-01-14,20190114,17612296,6469,3844735324,218.5,220.0,217.0,-,2.0,11122000.0,12972338.0,-1850338.0,40000,642000,-602000,27000,239000.0,212000.0,-2425338,16.16,3.6,3.66,218.5
2019-01-15,20190115,42990923,11609,9399209983,216.5,221.0,215.5,+,2.5,34125091.0,24271930.0,9853161.0,14234,1311000,-1296766,-373000,668000.0,1041000.0,8183395,16.35,3.64,3.62,221.0
2019-01-16,20190116,30038282,8950,6563789758,218.5,220.0,217.5,-,3.5,17878988.0,25650697.0,-7771709.0,4000,620000,-616000,856000,1234000.0,378000.0,-7531709,16.09,3.58,3.68,217.5
2019-01-17,20190117,21163986,8288,4646131841,218.0,221.0,218.0,+,3.0,15427000.0,12718116.0,2708884.0,302000,240000,62000,-1017399,169000.0,1186399.0,1753485,16.31,3.63,3.63,220.5
2019-01-18,20190118,52677569,15157,11530053787,219.0,220.0,217.5,-,2.0,29104264.0,42694216.0,-13589952.0,181000,391000,-210000,1124000,1563000.0,439000.0,-12675952,16.16,3.6,3.66,218.5
2019-01-21,20190121,32515866,10549,7208829658,220.0,223.0,220.0,+,2.5,24369578.0,21026114.0,3343464.0,1225000,1639000,-414000,864000,1105000.0,241000.0,3793464,16.35,3.64,3.62,221.0
2019-01-22,20190122,30958483,8258,6854867566,220.0,223.0,219.0,+,2.0,22800000.0,18898238.0,3901762.0,1166000,3000,1163000,-659000,293000.0,952000.0,4405762,16.49,3.67,3.59,223.0
2019-01-23,20190123,18671213,7059,4121110926,221.5,222.0,220.0,-,2.5,14036341.0,15402816.0,-1366475.0,15000,233000,-218000,-448000,100000.0,548000.0,-2032475,16.31,3.63,3.63,220.5
2019-01-24,20190124,31348924,6291,6958753608,222.5,222.5,220.5,+,2.0,27201102.0,24569722.0,2631380.0,134000,29000,105000,-153000,13000.0,166000.0,2583380,16.46,3.66,3.6,222.5
2019-01-25,20190125,48039764,14979,10870045150,226.5,227.0,225.0,+,3.5,42382028.0,26550960.0,15831068.0,738000,13000,725000,209000,438000.0,229000.0,16765068,16.72,3.72,3.54,226.0
2019-01-28,20190128,29134257,10189,6665379096,229.5,229.5,228.0,+,3.0,24995780.0,16144022.0,8851758.0,886000,134000,752000,-681000,372000.0,1053000.0,8922758,16.94,3.77,3.49,229.0
2019-01-29,20190129,42566520,13344,9486156460,222.5,225.0,222.0,-,6.5,27167747.0,37032304.0,-9864557.0,88000,616000,-528000,972000,1110000.0,138000.0,-9420557,16.46,3.66,3.6,222.5
2019-01-30,20190130,51889945,12858,11453957730,220.5,221.5,220.0,-,1.5,33473378.0,45772593.0,-12299215.0,161000,310000,-149000,493000,649000.0,156000.0,-11955215,16.35,3.64,3.62,221.0
2019-02-11,20190211,81360106,21689,18546167132,228.0,229.0,226.5,+,7.0,74928232.0,45381859.0,29546373.0,424000,94000,330000,-1012000,364000.0,1376000.0,28864373,16.86,3.75,3.51,228.0
