DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet
2016-03-23,29439,8670,158.5,159.5,158.0,159.5,+,1.0,28104,17220,10884,0,369,-369,-907,55,962,9608
2016-03-24,25198,8841,158.0,159.0,157.0,158.5,-,1.0,18573,13070,5502,36,634,-598,986,1577,591,5890
2016-03-25,10970,5593,158.5,159.0,157.0,158.0,-,0.5,4722,3271,1450,0,371,-371,449,715,266,1528
2016-03-28,15857,6212,158.0,159.0,157.0,159.0,+,1.0,12433,4609,7823,9,624,-615,-690,147,837,6518
2016-03-29,19152,7098,158.5,159.5,158.0,159.0, ,0.0,14197,8619,5577,120,687,-567,-1489,141,1630,3521
2016-03-30,46113,14484,158.5,162.0,158.5,161.5,+,2.5,35832,21020,14812,664,449,215,211,1137,926,15238
2016-03-31,54094,14511,162.0,163.0,159.0,162.0,+,0.5,41492,33505,7986,694,67,627,596,2703,2107,9209
2016-04-01,34544,10001,161.0,161.0,157.5,158.5,-,3.5,19877,25597,-5720,219,196,23,1494,1992,498,-4202
2016-04-06,63133,19206,155.5,156.0,153.5,153.5,-,5.0,37550,52901,-15350,67,244,-177,3732,3890,157,-11795
2016-04-07,35933,10086,155.0,155.0,152.5,154.5,+,1.0,20230,24427,-4196,86,272,-186,-2289,638,2927,-6671
2016-04-08,42324,12800,154.0,158.0,154.0,157.5,+,3.0,24520,24994,-473,41,354,-313,-2464,279,2743,-3250
2016-04-11,23189,6917,156.0,159.0,155.5,158.5,+,1.0,10481,14826,-4344,0,258,-258,-279,733,1012,-4881
2016-04-12,14877,4707,157.5,159.5,157.5,158.5, ,0.0,8169,10349,-2180,163,5,158,-122,597,719,-2144
2016-04-13,40333,12488,160.0,162.0,159.5,161.5,+,3.0,35651,13007,22644,54,521,-467,-874,853,1727,21303
2016-04-14,31377,10380,162.0,162.5,160.0,161.5, ,0.0,23668,16530,7137,50,191,-141,1876,2274,398,8872
2016-04-15,50339,17202,157.0,160.0,156.0,159.5,-,2.0,29775,33341,-3565,20,1082,-1062,126,1581,1455,-4502
2016-04-18,20876,7888,158.0,158.5,157.5,158.0,-,1.5,12035,17226,-5190,39,346,-307,274,998,724,-5224
2016-04-19,27622,9884,160.0,161.0,157.0,157.5,-,0.5,14285,18852,-4567,118,275,-157,27,1599,1572,-4697
2016-04-20,43418,16130,157.5,158.0,154.0,154.0,-,3.5,21775,32411,-10635,84,708,-624,421,1507,1085,-10837
2016-04-21,30419,11654,156.0,157.0,154.0,157.0,+,3.0,24344,13177,11166,125,298,-173,-1184,257,1441,9809
2016-04-22,29237,6485,155.5,158.0,155.0,156.5,-,0.5,25069,17596,7472,16,102,-86,-2240,355,2595,5145
2016-04-25,14669,5007,156.5,157.5,156.0,157.5,+,1.0,11925,9734,2191,4,261,-257,59,483,424,1993
2016-04-26,18539,5208,156.5,158.5,156.5,158.0,+,0.5,16169,14880,1289,158,143,15,363,518,155,1667
2016-04-27,36967,6783,156.0,157.5,155.5,156.5,-,1.5,28004,34663,-6659,255,41,214,2868,3123,255,-3577
2016-04-28,49282,15032,157.5,158.0,153.0,153.0,-,3.5,25386,41684,-16297,18,291,-273,1452,2952,1500,-15118
2016-04-29,75959,18838,151.0,151.0,149.0,150.0,-,3.0,37765,66262,-28496,0,1187,-1187,2040,2499,459,-27643
