DateTime,Volume,Transaction,Open,High,Low,Close,Dir,Change,ForeignBuy,ForeignSell,ForeignNet,TrustBuy,TrustSell,TrustNet,DealerNet,DealerBuy,DealerSell,InvestorsNet,PE-Ratio,PBR,Yield,ForeignVol,TrustVol,DealerVol,InvestorsVol,Pattern,Trend,InvestorsNet_Dir,ForeignNet_Dir,TrustNet_Dir,DealerNet_Dir,Dir2
2017-11-13,12087,4288,240.0,241.5,239.5,239.5,-,1.0,6978,8170,-1192,56,32,24,-266,184,450,-1434,17.7,4.63,2.92,15148,88,634,15870,0,0,0,0,1,0,2
2017-11-14,17229,4130,241.0,241.0,239.0,240.0,+,0.5,12515,14347,-1832,19,130,-111,216,259,43,-1727,18.09,4.35,2.92,26862,149,302,27313,0,0,0,0,0,1,1
2017-11-15,29720,9224,239.0,239.5,236.0,237.5,-,2.5,15227,25215,-9988,177,29,148,-672,149,821,-10512,17.9,4.3,2.95,40442,206,970,41618,0,0,0,0,1,0,2
2017-11-16,17274,5683,238.0,240.0,237.5,238.0,+,0.5,14600,9716,4883,93,165,-72,48,125,77,4859,17.94,4.31,2.94,24317,258,202,24777,0,0,1,1,0,1,1
2017-11-17,18741,5647,240.5,242.5,240.5,241.5,+,3.5,16856,12194,4661,0,51,-51,494,574,80,5104,18.2,4.38,2.9,29051,51,654,29756,0,0,1,1,0,1,1
2017-11-20,19811,5935,241.0,241.5,238.0,238.5,-,3.0,14976,17418,-2442,5,1,4,116,187,71,-2322,17.97,4.32,2.94,32395,6,258,32659,0,0,0,0,1,1,2
2017-11-21,22878,7942,240.0,243.0,239.5,243.0,+,4.5,20366,16847,3518,63,66,-3,-12,94,106,3503,18.31,4.4,2.88,37214,129,200,37543,0,0,1,1,0,0,1
2017-11-22,27251,7655,244.5,244.5,242.0,242.0,-,1.0,23866,21006,2860,153,139,14,-306,138,444,2568,18.24,4.39,2.89,44872,292,582,45746,0,2,1,1,1,0,2
2017-11-23,9562,4253,242.0,243.5,241.5,242.5,+,0.5,7620,7839,-218,426,75,351,-145,10,155,-12,18.27,4.39,2.89,15460,501,165,16126,0,2,0,0,1,0,1
2017-11-24,11404,3910,242.0,244.5,241.5,244.0,+,1.5,9723,7381,2342,248,14,234,-385,48,433,2191,18.39,4.42,2.87,17104,262,481,17847,0,2,1,1,1,0,1
2017-11-27,32247,14743,240.0,240.0,237.0,237.0,-,7.0,7148,24521,-17373,0,338,-338,-87,417,504,-17798,17.86,4.3,2.95,31670,338,921,32929,0,0,0,0,0,0,2
2017-11-28,47834,15262,234.5,235.0,233.0,234.0,-,3.0,15738,40364,-24625,136,488,-352,1472,1602,130,-23505,17.63,4.24,2.99,56102,624,1732,58458,0,0,0,0,0,1,2
2017-11-29,26535,6976,235.0,236.0,234.5,234.5,+,0.5,13063,22883,-9820,16,381,-365,352,724,372,-9833,17.67,4.25,2.99,35947,397,1096,37440,0,0,0,0,0,1,1
2017-11-30,112262,21352,226.5,230.5,226.0,226.0,-,8.5,60625,100409,-39784,43,639,-596,-95,1275,1370,-40475,17.03,4.1,3.1,161034,682,2645,164361,0,0,0,0,0,0,2
2017-12-01,38356,17632,228.5,233.5,227.5,231.0,+,5.0,14694,23853,-9159,290,161,129,-955,212,1167,-9985,17.41,4.19,3.03,38548,451,1379,40378,0,0,0,0,1,0,1
2017-12-04,22939,7763,232.5,234.5,231.0,234.0,+,3.0,15323,17312,-1989,214,189,25,-435,253,688,-2399,17.63,4.24,2.99,32635,403,941,33979,0,0,0,0,1,0,1
2017-12-05,30189,11202,231.0,231.0,228.5,229.5,-,4.5,12301,25616,-13314,126,220,-94,10,360,350,-13398,17.29,4.16,3.05,37917,346,710,38973,0,0,0,0,0,1,2
2017-12-06,34031,10749,228.0,229.5,226.5,227.0,-,2.5,11578,27453,-15875,65,58,7,-468,462,930,-16336,17.11,4.11,3.08,39031,123,1392,40546,0,0,0,0,1,0,2
2017-12-07,41619,13336,226.5,226.5,222.5,226.5,-,0.5,16461,31943,-15482,30,421,-391,143,993,850,-15730,17.07,4.1,3.09,48405,451,1843,50699,0,0,0,0,0,1,2
2017-12-08,38183,9485,231.0,231.0,224.5,227.0,+,0.5,21526,33069,-11542,4,181,-177,8,583,575,-11711,17.11,4.11,3.08,54595,185,1158,55938,0,0,0,0,0,1,1
2017-12-11,20649,6384,228.5,229.0,227.0,227.5,+,0.5,13283,16331,-3048,4,38,-34,151,478,327,-2931,17.14,4.12,3.08,29614,42,805,30461,6,0,0,0,0,1,1
2017-12-12,28188,6210,229.5,229.5,225.0,227.5, ,0.0,19648,25291,-5642,61,22,39,-766,115,881,-6369,17.14,4.12,3.08,44940,83,996,46019,1,0,0,0,1,0,0
2017-12-13,19619,6108,227.5,228.0,226.5,227.0,-,0.5,13979,17431,-3452,0,208,-208,168,462,294,-3492,17.11,4.11,3.08,31411,208,756,32375,0,0,0,0,0,1,2
2017-12-14,17263,6689,228.0,230.5,227.5,230.5,+,3.5,14491,11669,2821,26,84,-58,527,919,392,3290,17.37,4.18,3.04,26161,110,1311,27582,0,0,1,1,0,1,1
2017-12-15,42725,7602,228.5,230.0,226.5,230.0,-,0.5,35668,38260,-2591,473,202,271,-1042,201,1243,-3362,17.33,4.17,3.04,73928,675,1444,76047,8,0,0,0,1,0,2
2017-12-18,15702,5961,227.0,228.0,226.5,227.0,-,3.0,8317,13320,-5003,0,559,-559,149,184,35,-5413,17.11,4.11,3.08,21638,559,219,22416,0,0,0,0,0,1,2
2017-12-19,25899,7609,226.5,228.5,224.0,225.0,-,2.0,11995,20075,-8080,33,1912,-1879,517,704,187,-9442,16.96,4.08,3.11,32070,1945,891,34906,0,0,0,0,0,1,2
2017-12-20,34514,10336,225.0,225.5,223.5,224.5,-,0.5,18780,31158,-12377,0,858,-858,332,541,209,-12903,16.92,4.07,3.12,49939,858,750,51547,0,0,0,0,0,1,2
2017-12-21,20826,5893,226.5,227.0,224.5,225.0,+,0.5,13111,17435,-4323,0,496,-496,-221,45,266,-5040,16.96,4.08,3.11,30546,496,311,31353,0,0,0,0,0,0,1
2017-12-22,19106,6146,225.0,227.5,224.0,227.5,+,2.5,16786,16178,607,6,63,-57,-58,80,138,492,17.14,4.12,3.08,32964,69,218,33251,0,0,1,1,0,0,1
2017-12-25,4579,2288,228.0,229.5,226.5,228.5,+,1.0,1557,758,798,124,84,40,-9,39,48,829,17.22,4.14,3.06,2315,208,87,2610,0,0,1,1,1,0,1
2017-12-26,13755,3550,229.0,229.0,225.0,226.0,-,2.5,4524,6947,-2423,71,54,16,31,251,220,-2376,17.03,4.1,3.1,11471,125,471,12068,4,1,0,0,1,1,2
2017-12-27,12515,5717,225.0,226.0,225.0,225.0,-,1.0,6300,10565,-4265,12,447,-435,336,373,37,-4364,16.96,4.08,3.11,16865,459,410,17734,0,1,0,0,0,1,2
2017-12-28,24370,7413,226.5,228.0,225.0,226.0,+,1.0,18188,16690,1497,115,735,-620,278,426,148,1155,17.03,4.1,3.1,34879,850,574,36303,0,1,1,1,0,1,1
2017-12-29,25610,8325,227.5,230.0,226.5,229.5,+,3.5,17475,10120,7354,297,35,262,-601,746,1347,7015,17.29,4.16,3.05,27595,332,2093,30020,0,1,1,1,1,0,1
